Prix,Pièces,Bains,Surface,Gouvernorat
1450,4,1,140,Ariana
720,3,1,90,Ariana
650,3,1,90,Ariana
500,2,1,60,Ariana
750,3,1,100,Ariana
1100,3,1,100,Ariana
1400,3,2,100,Ariana
850,4,1,134,Ariana
500,3,1,90,Ariana
870,2,1,64,Ariana
1100,3,1,100,Ariana
1500,3,1,100,Ariana
1450,2,1,85,Ariana
800,2,1,70,Ariana
600,3,1,100,Ariana
600,3,1,100,Ariana
1000,1,1,55,Ariana
1350,5,1,170,Ariana
650,3,1,74,Ariana
600,2,1,70,Ariana
1750,3,1,87,Ariana
650,2,1,70,Ariana
850,3,1,100,Ariana
570,3,1,100,Ariana
900,3,1,100,Ariana
1500,4,1,140,Ariana
650,3,1,100,Ariana
750,3,1,100,Ariana
540,3,1,100,Ariana
600,3,1,70,Ariana
550,3,1,90,Ariana
600,3,1,70,Ariana
800,2,1,70,Ariana
370,2,1,60,Ariana
1000,3,1,100,Ariana
950,2,1,70,Ariana
650,3,1,100,Ariana
350,2,1,70,Ariana
1100,3,1,100,Ariana
900,1,1,66,Ariana
300,1,1,40,Ariana
500,3,1,90,Ariana
1150,2,1,70,Ariana
1400,4,2,120,Ariana
850,2,1,100,Ariana
110,3,1,70,Ariana
1400,4,2,140,Ariana
1200,2,1,77,Ariana
1000,2,1,70,Ariana
2000,3,2,172,Ariana
600,3,1,140,Ariana
800,4,1,100,Ariana
1250,2,1,70,Ariana
650,2,1,70,Ariana
1100,2,1,70,Ariana
600,3,1,100,Ariana
650,3,1,300,Ariana
1280,2,1,55,Ariana
1350,3,1,110,Ariana
1050,3,1,100,Ariana
1400,4,1,140,Ariana
1500,3,1,100,Ariana
1300,3,1,100,Ariana
900,3,1,100,Ariana
1300,4,1,140,Ariana
550,3,1,100,Ariana
480,2,1,70,Ariana
600,4,1,140,Ariana
900,3,1,100,Ariana
900,4,0,2,Ariana
550,2,1,100,Ariana
500,3,1,90,Ariana
750,3,104,100,Ariana
1050,2,1,70,Ariana
1100,4,1,120,Ariana
600,3,1,110,Ariana
1650,4,2,130,Ariana
1350,4,1,120,Ariana
90,2,1,90,Ariana
1100,2,1,70,Ariana
550,3,1,110,Ariana
550,3,1,90,Ariana
550,2,1,90,Ariana
600,4,1,0,Ariana
800,4,1,0,Ariana
500,3,1,0,Ariana
600,3,1,0,Ariana
350,1,1,0,Ariana
850,3,1,0,Ariana
370,3,1,0,Ariana
330,2,1,0,Ariana
950,3,1,0,Ariana
680,2,1,0,Ariana
800,3,1,0,Ariana
600,3,1,0,Ariana
1050,2,1,0,Ariana
650,4,0,120,Ariana
850,2,1,60,Ariana
350,3,1,100,Ariana
750,4,1,120,Ariana
430,2,1,60,Ariana
700,4,1,120,Ariana
950,2,1,60,Ariana
1050,3,1,90,Ariana
650,3,1,90,Ariana
1600,3,1,90,Ariana
1050,2,1,60,Ariana
1300,3,1,90,Ariana
600,3,1,90,Ariana
1000,3,1,90,Ariana
550,1,1,50,Ariana
650,3,1,90,Ariana
650,2,1,60,Ariana
1400,3,1,90,Ariana
1120,2,1,60,Ariana
1000,2,1,60,Ariana
750,2,1,60,Ariana
900,4,1,120,Ariana
1580,3,1,101,Ariana
480,2,1,60,Ariana
1500,4,1,120,Ariana
1600,4,2,120,Ariana
800,2,1,60,Ariana
550,2,1,60,Ariana
950,2,1,80,Ariana
650,4,1,120,Ariana
700,3,1,90,Ariana
1300,3,1,90,Ariana
950,2,1,60,Ariana
950,2,1,60,Ariana
600,4,1,120,Ariana
1300,3,1,90,Ariana
650,3,1,90,Ariana
5002,1,60,60,Ariana
500,3,1,90,Ariana
1200,4,1,120,Ariana
900,3,1,90,Ariana
900,4,1,140,Ariana
1250,3,1,90,Ariana
1500,4,1,184,Ariana
500,3,1,90,Ariana
650,3,1,90,Ariana
450,4,1,120,Ariana
550,2,1,60,Ariana
700,4,1,120,Ariana
500,2,1,60,Ariana
650,4,1,120,Ariana
1200,5,1,80,Ariana
650,3,1,90,Ariana
800,3,1,90,Ariana
750,4,1,140,Ariana
400,3,1,90,Ariana
650,4,1,120,Ariana
700,4,1,120,Ariana
500,4,1,120,Ariana
1300,3,1,90,Ariana
1300,3,1,120,Ariana
1200,2,1,60,Ariana
1500,4,1,129,Ariana
1800,5,1,182,Ariana
1250,5,1,140,Ariana
900,2,1,60,Ariana
820,2,1,60,Ariana
1000,2,1,60,Ariana
1100,2,1,60,Ariana
1300,3,1,90,Ariana
800,3,1,90,Ariana
1080,2,1,70,Ariana
1350,3,1,100,Ariana
1350,3,1,90,Ariana
1200,3,1,90,Ariana
600,3,1,90,Ariana
700,4,1,120,Ariana
950,1,1,50,Ariana
1560,3,1,90,Ariana
900,3,1,90,Ariana
450,2,1,60,Ariana
1400,3,1,90,Ariana
750,4,1,120,Ariana
1200,2,1,60,Ariana
800,3,1,90,Ariana
850,2,1,60,Ariana
650,3,1,90,Ariana
450,3,1,90,Ariana
800,3,1,90,Ariana
950,3,1,90,Ariana
800,4,1,120,Ariana
800,4,1,120,Ariana
550,3,1,90,Ariana
450,3,1,90,Ariana
550,4,1,120,Ariana
930,3,1,90,Ariana
1100,3,1,90,Ariana
1000,4,1,120,Ariana
780,2,1,60,Ariana
450,2,1,60,Ariana
1100,4,1,135,Ariana
900,3,1,90,Ariana
1450,4,1,120,Ariana
500,4,1,120,Ariana
1200,4,1,120,Ariana
650,3,1,90,Ariana
600,4,1,120,Ariana
850,2,1,60,Ariana
1200,4,1,120,Ariana
800,2,1,60,Ariana
580,4,1,120,Ariana
700,3,1,90,Ariana
1400,3,1,90,Ariana
850,4,1,120,Ariana
750,3,1,90,Ariana
320,3,1,60,Ariana
780,3,1,90,Ariana
750,2,1,60,Ariana
900,2,1,60,Ariana
950,3,1,90,Ariana
700,5,1,145,Ariana
750,2,1,60,Ariana
580,3,1,90,Ariana
750,4,1,125,Ariana
650,3,1,90,Ariana
700,4,1,120,Ariana
870,4,2,120,Ariana
320,3,1,60,Ariana
540,3,1,90,Ariana
1850,5,1,136,Ariana
850,3,1,100,Ariana
550,3,1,90,Ariana
850,3,1,90,Ariana
620,3,1,90,Ariana
400,3,1,90,Ariana
520,3,1,80,Ariana
950,3,1,90,Ariana
900,3,1,90,Ariana
1100,3,1,90,Ariana
800,3,1,140,Ariana
850,3,1,98,Ariana
800,3,1,90,Ariana
450,2,1,70,Ariana
1000,3,1,90,Ariana
900,3,1,0,Ariana
1300,3,1,90,Ariana
600,4,1,120,Ariana
800,3,1,90,Ariana
700,3,1,90,Ariana
600,3,1,110,Ariana
730,4,1,130,Ariana
350,2,1,60,Ariana
1200,2,1,60,Ariana
1100,2,1,70,Ariana
1100,2,1,70,Ariana
1200,2,1,70,Ariana
380,2,1,70,Ariana
870,3,1,90,Ariana
1100,4,1,140,Ariana
460,3,1,90,Ariana
950,2,1,100,Ariana
370,3,1,90,Ariana
420,2,1,60,Ariana
450,2,1,70,Ariana
570,3,1,90,Ariana
850,3,1,90,Ariana
1000,3,1,114,Ariana
290,2,1,70,Ariana
880,2,1,90,Ariana
1200,4,1,180,Ariana
750,3,1,90,Ariana
1111,2,1,70,Ariana
1200,2,1,70,Ariana
800,3,1,140,Ariana
600,3,1,90,Ariana
500,3,1,100,Ariana
900,3,1,100,Ariana
750,4,1,120,Ariana
550,3,1,90,Ariana
800,3,1,97,Ariana
1000,3,1,90,Ariana
600,2,1,70,Ariana
360,1,1,40,Ariana
600,2,1,70,Ariana
600,2,1,70,Ariana
540,3,1,100,Ariana
500,2,1,70,Ariana
280,2,1,70,Ariana
750,3,1,90,Ariana
1100,3,1,120,Ariana
350,3,1,90,Ariana
700,3,1,140,Ariana
350,2,1,60,Ariana
850,2,1,70,Ariana
800,2,1,60,Ariana
500,2,1,60,Ariana
850,3,1,90,Ariana
900,3,1,90,Ariana
850,2,1,60,Ariana
650,3,1,100,Ariana
890,2,1,70,Ariana
750,3,1,97,Ariana
250,1,1,0,Ariana
650,4,1,120,Ariana
650,3,1,90,Ariana
500,3,1,100,Ariana
280,2,1,70,Ariana
300,2,1,70,Ariana
420,1,1,50,Ariana
350,2,1,60,Ariana
900,3,1,90,Ariana
450,3,1,0,Ariana
600,3,1,100,Ariana
850,4,1,120,Ariana
950,3,1,90,Ariana
780,3,1,90,Ariana
950,4,1,120,Ariana
1400,4,1,120,Ariana
1350,4,1,140,Ariana
300,2,1,70,Ariana
370,1,1,40,Ariana
680,4,1,120,Ariana
300,3,1,90,Ariana
1280,3,1,75,Ariana
460,1,1,50,Ariana
380,2,1,60,Ariana
500,2,1,70,Ariana
750,3,2,100,Ariana
400,2,1,70,Ariana
380,1,1,50,Ariana
350,2,1,70,Ariana
300,2,1,60,Ariana
320,1,1,50,Ariana
550,4,1,120,Ariana
450,3,1,100,Ariana
400,3,1,1,Ariana
750,3,1,90,Ariana
600,3,1,100,Ariana
560,2,1,65,Ariana
650,3,1,100,Ariana
550,2,1,60,Ariana
550,2,1,60,Ariana
1200,5,2,113,Ariana
500,3,1,100,Ariana
1000,3,1,90,Ariana
350,2,1,60,Ariana
750,4,1,120,Ariana
700,2,1,80,Ariana
450,2,1,60,Ariana
500,2,1,60,Ariana
650,4,1,120,Ariana
500,2,1,60,Ariana
500,3,1,100,Ariana
700,3,1,100,Ariana
680,2,1,70,Ariana
780,2,1,70,Ariana
900,3,1,90,Ariana
900,3,1,100,Ariana
500,2,1,70,Ariana
850,2,1,60,Ariana
300,2,1,60,Ariana
950,2,1,60,Ariana
800,3,1,90,Ariana
600,3,1,100,Ariana
750,2,1,60,Ariana
440,3,1,65,Ariana
480,3,1,100,Ariana
450,3,1,90,Ariana
450,2,1,60,Ariana
650,3,1,90,Ariana
450,3,1,120,Ariana
350,3,1,90,Ariana
450,2,1,60,Ariana
600,3,1,100,Ariana
250,3,1,90,Ariana
700,3,1,90,Ariana
300,1,1,50,Ariana
380,3,1,90,Ariana
450,2,1,60,Ariana
850,2,1,60,Ariana
1400,4,1,140,Ariana
850,2,1,60,Ariana
700,4,2,120,Ariana
700,4,2,120,Ariana
750,3,1,90,Ariana
750,1,1,45,Ariana
700,3,1,90,Ariana
380,2,1,70,Ariana
350,2,1,80,Ariana
600,2,1,60,Ariana
850,3,1,100,Ariana
600,3,1,110,Ariana
700,2,1,100,Ariana
700,3,1,100,Ariana
900,3,1,90,Ariana
330,2,1,70,Ariana
800,3,1,100,Ariana
200,1,1,40,Ariana
1100,3,1,100,Ariana
450,3,1,100,Ariana
900,3,1,100,Ariana
900,3,1,100,Ariana
600,2,1,70,Ariana
570,3,1,90,Ariana
500,3,1,90,Ariana
550,3,1,90,Ariana
550,3,1,90,Ariana
1300,3,1,110,Ariana
900,2,1,80,Ariana
950,4,1,140,Ariana
300,2,1,0,Ariana
650,2,1,60,Ariana
500,3,1,100,Ariana
400,2,1,70,Ariana
650,3,1,90,Ariana
700,2,1,60,Ariana
700,3,1,90,Ariana
900,3,1,90,Ariana
750,4,1,120,Ariana
450,2,1,60,Ariana
550,3,1,100,Ariana
550,2,1,60,Ariana
550,3,1,90,Ariana
750,3,1,100,Ariana
600,3,1,100,Ariana
550,3,1,75,Ariana
850,3,1,100,Ariana
450,2,1,60,Ariana
470,3,1,90,Ariana
770,4,1,120,Ariana
650,2,1,60,Ariana
650,2,1,70,Ariana
570,3,1,100,Ariana
580,3,1,90,Ariana
800,2,1,90,Ariana
800,2,1,70,Ariana
650,4,1,120,Ariana
700,4,1,120,Ariana
450,2,1,60,Ariana
330,1,1,90,Ariana
500,3,1,90,Ariana
450,2,1,60,Ariana
490,3,1,90,Ariana
600,3,1,120,Ariana
750,3,1,90,Ariana
